,SPY,QQQ,IWM,EFA,GLD,SLV,USO,DBA
2020-06-30,0.1043857408915425,0.07250298665360377,0.04675995534891332,0.11988678483514074,0.22727519577379976,0.07299281274000625,0.03495198037704079,0.32124454337995284
2020-07-31,0.10629122326532316,0.07396954763058676,0.04737363293205515,0.12509497301640227,0.22861906363788373,0.07203022141456171,0.033880991921163395,0.31274034618202395
2020-08-31,0.10191896744998057,0.07517779604389804,0.04705934285914611,0.12764126385032698,0.22304011508231586,0.06952588554121376,0.03409131715414028,0.3215453120189784
2020-09-30,0.10234589396913629,0.07304571779264403,0.04847333108503072,0.130000105167165,0.21845254939127462,0.06338650148533662,0.03439138854862528,0.32990451256078746
2020-11-30,0.10320915290840621,0.07396393210203236,0.05178494376936692,0.13194241571151621,0.21981334877612715,0.0633016881999814,0.031096715100755002,0.32488780343181484
2020-12-31,0.10123258467818391,0.07553030745861888,0.053826170825537575,0.13730551780216632,0.2218409892000543,0.06290820652958148,0.03217357661907114,0.31518264688678643
2021-03-31,0.09677198879368562,0.07530080233655248,0.05535173678777501,0.1375986014627196,0.22967379089939347,0.06400586975226377,0.03382519646365788,0.3074720135039522
2021-04-30,0.09343657614727544,0.07701763499017984,0.05714942294523774,0.14018757371598892,0.21645184015118882,0.06524728437595434,0.03280648085321853,0.31770318682095633
2021-05-31,0.09455471771676217,0.07201689293726596,0.05425557053439157,0.141751094000499,0.21061318064344361,0.06592417091234373,0.03440411325194686,0.3264802600033472
2021-06-30,0.0996655503171687,0.0757029220270727,0.05697907587460916,0.13964518866904976,0.18912397923058627,0.0666649211205664,0.0326952551248413,0.33952310763610577
2021-08-31,0.10436574125942759,0.08007101898580289,0.059976002946155564,0.13333406872614262,0.1948648989953324,0.06967865366303164,0.03296488915621238,0.32474472626789497
2021-09-30,0.10444734544590827,0.08273637197297558,0.05814690119344134,0.13910850934310348,0.18801900379996603,0.07647211742056446,0.03570020332670194,0.31536954749733886
2021-11-30,0.1100750063128017,0.08152504187598472,0.054513091290243496,0.13420005197350296,0.17469344626800926,0.07873055984506738,0.036377015922439596,0.32988578651195094
2021-12-31,0.11618621346378367,0.08320891064111437,0.053509846688418475,0.12922254868534888,0.17325011928780673,0.08147626051876757,0.03622036475573627,0.3269257359590241
2022-01-31,0.12020242899568526,0.08447263073179416,0.053773291059616694,0.12854842574036615,0.17234026809416117,0.08262121726183591,0.0340107945970884,0.32403094351945233
2022-02-28,0.12147665075364125,0.08860357021341538,0.05200861654924765,0.12815468343221656,0.17445032522698484,0.0875651103451987,0.033079729588469484,0.31466131389082624
2022-03-31,0.12541439851255276,0.0896378270700033,0.05046757526519157,0.12820292602858466,0.17843459529025557,0.0918493684561994,0.03265345415930036,0.3033398552179124
2022-05-31,0.1171229248949081,0.09572867864917763,0.05257225347827844,0.13095824038636528,0.18658931513180915,0.09073133925342672,0.03209253376475564,0.2942047144412791
2022-06-30,0.11762964962104112,0.08871255754351602,0.053731995519755,0.1370588267772792,0.20264802521329756,0.08664360281156029,0.03176451339802926,0.2818108291155216
2022-08-31,0.11395159706841343,0.08630236650853741,0.05319380897677113,0.14149493606658092,0.19765021585009873,0.0814466467217839,0.035606206759231915,0.29035422204858263
2022-09-30,0.11736357683527841,0.0834232270996654,0.052536062599671834,0.13750215030019597,0.19473420239635522,0.07739329112305018,0.03456644813408372,0.30248104151169936
2022-10-31,0.11809305698525445,0.08856140065737668,0.053731407762604655,0.1400763800129871,0.19474208899568102,0.08204196783606506,0.0371762849795938,0.2855774127704372
2022-11-30,0.11523370927142428,0.09059944706716448,0.05391580071841801,0.14413333057062785,0.1928628671627285,0.0772404151278053,0.03503973789954357,0.29097469218228794
2023-01-31,0.11352914738886528,0.08724180967284563,0.058624190111882746,0.14818181073715456,0.18684961146324727,0.06687431357082575,0.03273921749543119,0.3059598995597475
2023-02-28,0.11069020775913725,0.08541878370365398,0.06039453108689938,0.15077422134688406,0.19208407190249482,0.06606053905219743,0.03215466535818708,0.302422979790546
2023-03-31,0.11356707262860577,0.08532481373733458,0.06108888909432899,0.15470343441194462,0.19845775211416997,0.06375517225113381,0.03230551958083959,0.29079734618164266
2023-05-31,0.1116309394006973,0.08781147665190574,0.06287605068683041,0.14459789141738033,0.17389518054688408,0.061966242292332885,0.03179946323595112,0.3254227557680181
2023-06-30,0.11374245613446937,0.08659513816786107,0.06218717472081296,0.14234244920161465,0.17979032952974522,0.06164121330348842,0.033665245822898655,0.32003599311910963
2023-07-31,0.11642095892471455,0.08810301872777833,0.06283358321091105,0.14168438537630884,0.1835703744354099,0.06713297064124009,0.034310197655741635,0.3059445110278956
2023-08-31,0.11304556519355635,0.08454420485396219,0.06285843281872999,0.144990480030896,0.18356363647741494,0.06549609243946113,0.03354319635519818,0.31195839183078117
2023-10-31,0.1096166772381564,0.08469518071968853,0.06303782121905832,0.14546108975409083,0.1907523328785391,0.06484863204664686,0.03543625093226518,0.3061520152115548
2023-11-30,0.1050299459017169,0.08454600744760228,0.059948232556270575,0.14784514917435754,0.1892906011018778,0.07002377054995729,0.03765353126462032,0.3056627620035973
